arm,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
baseline,1.0,0.5499195211211076,0.19575,0.6278120195272322,100000,0.5760157428256316,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.05,0.5454865401972239,0.19575,0.6278120195272322,100000,0.5701994363944545,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.1,0.5405871907048306,0.19575,0.6278120195272322,100000,0.5638391936636233,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.15,0.5352324147033792,0.19575,0.6278120195272322,100000,0.5569656169584019,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.2,0.5294414004840833,0.19575,0.6278120195272322,100000,0.549619118920265,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.25,0.5232409071849378,0.19575,0.6278120195272322,100000,0.5418481502403779,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.3,0.5166642507337479,0.19575,0.6278120195272322,100000,0.5337071214213005,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.4,0.5025407240953533,0.19575,0.6278120195272322,100000,0.5165491482047269,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.5,0.48741720628145296,0.19575,0.6278120195272322,100000,0.4986181977090221,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.75,0.4475549201520996,0.19575,0.6278120195272322,100000,0.45314801553847023,50,25,43,0.4319793894559076,0.2736387818212827
baseline,2.0,0.4083100251138852,0.19575,0.6278120195272322,100000,0.41032003998413574,50,25,43,0.4319793894559076,0.2736387818212827
baseline,1.0,0.6214804633579016,0.18519,0.7371641967969815,100000,0.6475336728639702,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.05,0.612823915038801,0.18519,0.7371641967969815,100000,0.6365157751719734,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.1,0.6035434869133813,0.18519,0.7371641967969815,100000,0.6248887750168299,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.15,0.5937174123631797,0.18519,0.7371641967969815,100000,0.612771868697092,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.2,0.5834322049886028,0.18519,0.7371641967969815,100000,0.6002863023748726,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.25,0.572778515329304,0.18519,0.7371641967969815,100000,0.5875500260999041,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.3,0.5618472727780883,0.18519,0.7371641967969815,100000,0.5746734849159525,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.4,0.5394981521204615,0.18519,0.7371641967969815,100000,0.5488873815019274,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.5,0.5170106068336386,0.18519,0.7371641967969815,100000,0.5235782370729011,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.75,0.4630878328602553,0.18519,0.7371641967969815,100000,0.4649292899663112,52,27,41,0.48540657615634303,0.3116278568075677
baseline,2.0,0.4152584930448833,0.18519,0.7371641967969815,100000,0.41467602614900184,52,27,41,0.48540657615634303,0.3116278568075677
baseline,1.0,0.7121656505896223,0.16931,0.9328529220926473,100000,0.7304770572252465,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.05,0.693569453213139,0.16931,0.9328529220926473,100000,0.7086851432526863,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.1,0.674821236113302,0.16931,0.9328529220926473,100000,0.6871141049600441,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.15,0.6561190290941074,0.16931,0.9328529220926473,100000,0.6659523751618431,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.2,0.6376276373804791,0.16931,0.9328529220926473,100000,0.6453418479122947,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.25,0.6194786139440772,0.16931,0.9328529220926473,100000,0.6253834162186616,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.3,0.6017725197120829,0.16931,0.9328529220926473,100000,0.6061435606047462,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.4,0.5679583862485268,0.16931,0.9328529220926473,100000,0.5699527016885566,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.5,0.5365154070484014,0.16931,0.9328529220926473,100000,0.5368493765772459,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.75,0.4684721935262312,0.16931,0.9328529220926473,100000,0.46659036671328225,55,30,38,0.5823445124780893,0.37958166243645175
baseline,2.0,0.41383214594440326,0.16931,0.9328529220926473,100000,0.41114575490798905,55,30,38,0.5823445124780893,0.37958166243645175
baseline,1.0,0.7600038837227656,0.15081,1.1782358779920983,100000,0.7665323492940009,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.05,0.7315936875559391,0.15081,1.1782358779920983,100000,0.7359470199983856,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.1,0.7044825599093443,0.15081,1.1782358779920983,100000,0.7071099580772886,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.15,0.6787236565631796,0.15081,1.1782358779920983,100000,0.679988172530258,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.2,0.654323941993504,0.15081,1.1782358779920983,100000,0.6545163583613369,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.25,0.6312584126729199,0.15081,1.1782358779920983,100000,0.6306103023020823,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.3,0.6094810482912018,0.15081,1.1782358779920983,100000,0.6081762218297238,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.4,0.5695480985992855,0.15081,1.1782358779920983,100000,0.5673365607083323,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.5,0.5339923150883907,0.15081,1.1782358779920983,100000,0.5312448476138846,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.75,0.4607895212610176,0.15081,1.1782358779920983,100000,0.45754470780432527,58,33,35,0.7057252997566046,0.4644257958988081
baseline,2.0,0.40453288917752067,0.15081,1.1782358779920983,100000,0.40129934634015085,58,33,35,0.7057252997566046,0.4644257958988081
baseline,1.0,0.7667754469071097,0.1391,1.3731790781317388,100000,0.7678656645410843,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.05,0.7344579039059107,0.1391,1.3731790781317388,100000,0.7343238212174156,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.1,0.7043114306581081,0.1391,1.3731790781317388,100000,0.7032617085828068,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.15,0.676208049178096,0.1391,1.3731790781317388,100000,0.6744762401792115,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.2,0.6500076846325176,0.1391,1.3731790781317388,100000,0.6477705890337523,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.25,0.6255679311905971,0.1391,1.3731790781317388,100000,0.6229595944373592,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.3,0.6027500164660949,0.1391,1.3731790781317388,100000,0.5998722824269682,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.4,0.561461619549125,0.1391,1.3731790781317388,100000,0.5582593797551093,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.5,0.525197901852743,0.1391,1.3731790781317388,100000,0.5218554347666305,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.75,0.4516382095419868,0.1391,1.3731790781317388,100000,0.4483239425679224,60,35,33,0.8074954341699282,0.533137296441888
baseline,2.0,0.3958147240547465,0.1391,1.3731790781317388,100000,0.39272000152256814,60,35,33,0.8074954341699282,0.533137296441888
baseline,1.0,0.7588126334046232,0.12418,1.6008852274688483,100000,0.7570579295155583,62,37,31,0.9296188534715357,0.6142964146779243
baseline,1.05,0.7247073564026947,0.12418,1.6008852274688483,100000,0.722419144598784,62,37,31,0.9296188534715357,0.6142964146779243
baseline,1.1,0.693311123887865,0.12418,1.6008852274688483,100000,0.6906528737867258,62,37,31,0.9296188534715357,0.6142964146779243
baseline,1.15,0.6643561337568893,0.12418,1.6008852274688483,100000,0.6614461280162119,62,37,31,0.9296188534715357,0.6142964146779243
